,0
116,http://mmadecisions.com/decision/14186/Sean-Woodson-vs-Dennis-Buzukja
117,http://mmadecisions.com/decision/14180/Alex-Pereira-vs-Jan-Blachowicz
118,http://mmadecisions.com/decision/14175/C.J.-Vergara-vs-Vinicius-Salvador
119,http://mmadecisions.com/decision/14161/Nathaniel-Wood-vs-Andre-Fili
120,http://mmadecisions.com/decision/14159/Fares-Ziam-vs-Jai-Herbert
121,http://mmadecisions.com/decision/14158/Lerone-Murphy-vs-Joshua-Culibao
122,http://mmadecisions.com/decision/14157/Daniel-Marcos-vs-Davey-Grant
123,http://mmadecisions.com/decision/14154/Mick-Parkin-vs-Jamal-Pogues
124,http://mmadecisions.com/decision/14153/Makhmud-Muradov-vs-Bryan-Barberena
125,http://mmadecisions.com/decision/14152/Ketlen-Vieira-vs-Pannie-Kianzad
126,http://mmadecisions.com/decision/14151/Chris-Duncan-vs-Yanal-Ashmoz
127,http://mmadecisions.com/decision/14150/Bruna-Brasil-vs-Shauna-Bannon
128,http://mmadecisions.com/decision/14142/Jack-Della-Maddalena-vs-Bassil-Hafez
129,http://mmadecisions.com/decision/14140/Norma-Dumont-vs-Chelsea-Chandler
130,http://mmadecisions.com/decision/14138/Melsik-Baghdasaryan-vs-Tucker-Lutz
131,http://mmadecisions.com/decision/14136/Melquizael-Costa-vs-Austin-Lingo
132,http://mmadecisions.com/decision/14135/Evan-Elder-vs-Genaro-Valdez
133,http://mmadecisions.com/decision/14134/Azat-Maksum-vs-Tyson-Nam
134,http://mmadecisions.com/decision/14133/Alexander-Munoz-vs-Carl-Deaton
135,http://mmadecisions.com/decision/14132/Ailin-Perez-vs-Ashlee-Evans-Smith
136,http://mmadecisions.com/decision/14130/Alexandre-Pantoja-vs-Brandon-Moreno
137,http://mmadecisions.com/decision/14128/Dan-Hooker-vs-Jalin-Turner
138,http://mmadecisions.com/decision/14125/Tatsuro-Taira-vs-Edgar-Chairez
139,http://mmadecisions.com/decision/14119/Esteban-Ribovics-vs-Kamuela-Kirk
140,http://mmadecisions.com/decision/14115/Grant-Dawson-vs-Damir-Ismagulov
141,http://mmadecisions.com/decision/14114/Michael-Morales-vs-Max-Griffin
142,http://mmadecisions.com/decision/14113/Ariane-Lipski-vs-Melissa-Gatto
143,http://mmadecisions.com/decision/14108/Karol-Rosa-vs-Yana-Santos
144,http://mmadecisions.com/decision/14106/Luana-Carolina-vs-Ivana-Petrovic
145,http://mmadecisions.com/decision/14105/Alexander-Romanov-vs-Blagoy-Ivanov
146,http://mmadecisions.com/decision/14104/Ilia-Topuria-vs-Josh-Emmett
147,http://mmadecisions.com/decision/14099/Neil-Magny-vs-Philip-Rowe
148,http://mmadecisions.com/decision/14098/Randy-Brown-vs-Wellington-Turman
149,http://mmadecisions.com/decision/14096/Tabatha-Ricci-vs-Gillian-Robertson
150,http://mmadecisions.com/decision/14095/Josh-Van-vs-Zhalgas-Zhumagulov
151,http://mmadecisions.com/decision/14094/Chepe-Mariscal-vs-Trevor-Peek
152,http://mmadecisions.com/decision/14093/Jack-Jenkins-vs-Jamall-Emmers
153,http://mmadecisions.com/decision/14092/Sedriques-Dumas-vs-Cody-Brundage
154,http://mmadecisions.com/decision/14086/Jared-Cannonier-vs-Marvin-Vettori
155,http://mmadecisions.com/decision/14084/Armen-Petrosyan-vs-Christian-Leroy-Duncan
156,http://mmadecisions.com/decision/14081/Nicolas-Dalby-vs-Muslim-Salikhov
157,http://mmadecisions.com/decision/14078/Carlos-Hernandez-vs-Denys-Bondar
158,http://mmadecisions.com/decision/14077/Tereza-Bleda-vs-Gabriella-Fernandes
159,http://mmadecisions.com/decision/14075/Modestas-Bukauskas-vs-Zac-Pauga
160,http://mmadecisions.com/decision/14059/Amanda-Nunes-vs-Irene-Aldana
