,Judge 1 Fighter 1 Round 1,Judge 1 Fighter 2 Round 1,Judge 1 Fighter 1 Round 2,Judge 1 Fighter 2 Round 2,Judge 1 Fighter 1 Round 3,Judge 1 Fighter 2 Round 3,Judge 1 Fighter 1 Round 4,Judge 1 Fighter 2 Round 4,Judge 1 Fighter 1 Round 5,Judge 1 Fighter 2 Round 5,Judge 2 Fighter 1 Round 1,Judge 2 Fighter 2 Round 1,Judge 2 Fighter 1 Round 2,Judge 2 Fighter 2 Round 2,Judge 2 Fighter 1 Round 3,Judge 2 Fighter 2 Round 3,Judge 2 Fighter 1 Round 4,Judge 2 Fighter 2 Round 4,Judge 2 Fighter 1 Round 5,Judge 2 Fighter 2 Round 5,Judge 3 Fighter 1 Round 1,Judge 3 Fighter 2 Round 1,Judge 3 Fighter 1 Round 2,Judge 3 Fighter 2 Round 2,Judge 3 Fighter 1 Round 3,Judge 3 Fighter 2 Round 3,Judge 3 Fighter 1 Round 4,Judge 3 Fighter 2 Round 4,Judge 3 Fighter 1 Round 5,Judge 3 Fighter 2 Round 5,Date,Fighter 1,Fighter 2,Judge 1,Judge 2,Judge 3
0,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,"October 21, 2023",Muhammad Naimov,Nathaniel Wood,Vito Paolillo,Darryl Ransom,Clemens Werner
0,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"October 21, 2023",Victoria Dudakova,Jinh Yu Frey,Derek Cleary,David Lethaby,Cezary Wojciechowski
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"October 21, 2023",Shara Magomedov,Bruno Silva,Ben Cartlidge,Vito Paolillo,Darryl Ransom
0,8,10,10,9,10,9,10,9,10,9,8,10,10,9,10,9,10,9,10,9,9,10,10,9,10,9,10,9,10,9,"October 14, 2023",Edson Barboza,Sodiq Yusuff,Derek Cleary,Sal D'Amato,Chris Lee
0,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,"October 14, 2023",Viviane Araujo,Jennifer Maia,Sal D'Amato,Junichiro Kamijo,Ron McCarthy
0,10,9,10,9,10,9,,,,,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"October 14, 2023",Christian Rodriguez,Cameron Saaiman,Derek Cleary,Sal D'Amato,Tony Weeks
0,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,"October 14, 2023",Tainara Lisboa,Ravena Oliveira,Eric Colón,Junichiro Kamijo,Anthony Maness
0,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"October 14, 2023",Melissa Dixon,Irina Alekseeva,Derek Cleary,Chris Lee,Anthony Maness
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"October 14, 2023",Chris Gutierrez,Heili Alateng,Sal D'Amato,Ron McCarthy,Bryan Miner
0,10,9,10,9,10,9,,,,,10,9,9,10,10,9,,,,,9,10,10,9,10,9,,,,,"October 14, 2023",Emily Ducote,Ashley Yoder,Derek Cleary,Eric Colón,Sal D'Amato
0,10,9,10,9,10,9,,,,,10,9,10,9,10,8,,,,,10,9,10,9,10,9,,,,,"October 07, 2023",Joaquin Buckley,Alex Morono,Sal D'Amato,Junichiro Kamijo,Jacob Montalvo
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"October 07, 2023",Bill Algeo,Alexander Hernandez,Junichiro Kamijo,Chris Lee,Rick Winter
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"October 07, 2023",Karolina Kowalkiewicz,Diana Belbita,Sal D'Amato,Chris Lee,Jacob Montalvo
0,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,"October 07, 2023",Vanessa Demopoulos,Kanako Murata,Eric Colón,Sal D'Amato,Chris Lee
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"October 07, 2023",Qileng Aori,Johnny Munoz,Junichiro Kamijo,Chris Lee,Jacob Montalvo
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"October 07, 2023",J.J. Aldrich,Montana De La Rosa,Eric Colón,Sal D'Amato,Junichiro Kamijo
0,10,9,10,9,10,9,,,,,9,10,10,9,10,9,,,,,10,9,9,10,10,9,,,,,"September 23, 2023",Bryce Mitchell,Dan Ige,Junichiro Kamijo,David Lethaby,Jacob Montalvo
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"September 23, 2023",Miles Johns,Dan Argueta,Junichiro Kamijo,Anthony Maness,Jacob Montalvo
0,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"September 23, 2023",Mohammed Usman,Jake Collier,David Lethaby,Jacob Montalvo,Tony Weeks
0,10,9,10,9,9,10,,,,,10,9,9,10,10,9,,,,,9,10,10,9,10,9,,,,,"September 23, 2023",Mizuki Inoue,Hannah Goldy,Adalaide Byrd,Junichiro Kamijo,David Lethaby
0,9,10,10,9,10,9,,,,,9,10,9,10,10,9,,,,,9,10,10,9,10,9,,,,,"September 23, 2023",Montserrat Rendon,Tamires Vidal,Junichiro Kamijo,Chris Leben,Jacob Montalvo
0,9,10,10,9,9,10,9,10,10,8,9,10,10,9,9,10,9,10,10,9,9,10,10,9,9,10,10,9,10,9,"September 16, 2023",Alexa Grasso,Valentina Shevchenko,Michael Bell,Sal D'Amato,Junichiro Kamijo
0,9,10,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"September 16, 2023",Jack Della Maddalena,Kevin Holland,Michael Bell,Eric Colón,Sal D'Amato
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"September 16, 2023",Kyle Nelson,Fernando Padilla,Michael Bell,Adalaide Byrd,Sal D'Amato
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,9,10,10,9,,,,,"September 16, 2023",Tracy Cortez,Jasmine Jasudavicius,Michael Bell,Sal D'Amato,Jacob Montalvo
0,10,8,10,8,10,8,,,,,10,9,10,8,10,8,,,,,10,9,10,9,10,9,,,,,"September 16, 2023",Josefine Knutsson,Marnic Mann,Michael Bell,Sal D'Amato,Bryan Miner
0,10,9,9,10,10,9,10,9,10,9,10,9,9,10,10,9,10,9,10,9,10,9,9,10,10,9,10,9,10,9,"September 10, 2023",Sean Strickland,Israel Adesanya,Eric Colón,David Lethaby,Clemens Werner
0,10,9,10,9,10,9,,,,,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,"September 10, 2023",Manel Kape,Felipe dos Santos,Eric Colón,David Lethaby,Clemens Werner
0,10,9,9,10,10,9,,,,,10,9,10,9,9,10,,,,,10,9,9,10,10,9,,,,,"September 10, 2023",Jamie Mullarkey,John Makdessi,Mark Christie,Eric Colón,David Lethaby
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"September 10, 2023",Nasrat Haqparast,Landon Quinones,Eric Colón,Evan Field,Clemens Werner
0,9,10,10,9,10,8,,,,,10,9,10,9,9,9,,,,,10,9,10,9,9,9,,,,,"September 10, 2023",Charlie Radtke,Blood Diamond,Chris Aliendi,Mark Collett,David Lethaby
0,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,10,9,10,9,10,9,,,,,"September 02, 2023",Manon Fiorot,Rose Namajunas,Sal D'Amato,Anders Ohlsson,Darryl Ransom
0,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"September 02, 2023",Taylor Lapilus,Caolan Loughran,Ben Cartlidge,Sal D'Amato,Anders Ohlsson
0,10,9,10,9,10,9,,,,,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,"September 02, 2023",Ange Loosa,Rhys McKee,Christophe Chapuis,David Lethaby,Darryl Ransom
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,9,10,10,9,,,,,"September 02, 2023",Nora Cornolle,Joselyne Edwards,Ben Cartlidge,Damien Gluski,Clemens Werner
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"September 02, 2023",Jacqueline Cavalcanti,Zarah Fairn,Damien Gluski,David Lethaby,Clemens Werner
0,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,9,10,,,,,"August 26, 2023",Anthony Smith,Ryan Spann,Mark Collett,Luke Hill,Vito Paolillo
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"August 26, 2023",Giga Chikadze,Alex Caceres,Howie Booth,Ben Cartlidge,David Lethaby
0,10,8,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"August 26, 2023",Rinya Nakamura,Fernie Garcia,Mark Collett,Vito Paolillo,Clemens Werner
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"August 26, 2023",Erin Blanchfield,Taila Santos,Howie Booth,Ben Cartlidge,Luke Hill
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"August 26, 2023",Song Kenan,Rolando Bedoya,Ben Cartlidge,Luke Hill,David Lethaby
0,10,9,10,9,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"August 26, 2023",Seungwoo Choi,Jarno Errens,Ben Cartlidge,Mark Collett,Vito Paolillo
0,10,8,10,9,10,9,10,9,10,8,10,8,10,9,10,9,10,9,10,9,10,9,10,9,10,9,9,10,10,8,"August 19, 2023",Weili Zhang,Amanda Lemos,Sal D'Amato,Chris Lee,Nick Mahmood
