,age_fighter1,reach_fighter1,height_fighter1,days_since_last_comp_fighter1,num_fights_fighter1,last_5_win_ratio_fighter1,L15_ER_average_fighter1,prev_elo_fighter1,prev_trueskill_fighter1,win/lose_streak_fighter1,finish_pcnt_fighter1,total_win/loss_ratio_fighter1,days_since_started_fighter1,sig_strikes_per_minute_fighter1,age_fighter2,reach_fighter2,height_fighter2,days_since_last_comp_fighter2,num_fights_fighter2,last_5_win_ratio_fighter2,L15_ER_average_fighter2,prev_elo_fighter2,prev_trueskill_fighter2,win/lose_streak_fighter2,finish_pcnt_fighter2,total_win/loss_ratio_fighter2,days_since_started_fighter2,sig_strikes_per_minute_fighter2,division_Catch Weight,division_Featherweight,division_Flyweight,division_Heavyweight,division_Light Heavyweight,division_Lightweight,division_Middleweight,division_Open Weight,division_Super Heavyweight,division_Welterweight,division_Women's Bantamweight,division_Women's Featherweight,division_Women's Flyweight,division_Women's Strawweight
3569,13902.0,80.0,76.0,189.0,14.0,0.6,0.5365333333333333,1408.147644424401,37.57636505356569,-1,0.38461538461538464,0.6153846153846154,2353,0.6023188546705233,9973.0,80.0,76.0,119.0,7.0,0.8,0.8926666666666666,1375.458902362138,34.98994200036064,3,0.5,0.6666666666666666,790,1.392931392931393,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1461,9975.0,70.0,68.0,133.0,7.0,0.8,0.6705333333333333,1359.273314016205,32.83128147695505,1,0.5,0.8333333333333334,1512,0.7668288432212621,13168.0,71.0,68.0,175.0,14.0,0.6,0.4993333333333333,1367.9237373040005,36.16059532958863,-1,0.6153846153846154,0.6923076923076923,2540,0.4028197381671702,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2698,12366.0,65.0,64.0,553.0,15.0,1.0,0.4872,1468.4108864833877,37.46732625802099,6,0.35714285714285715,0.8571428571428571,2639,0.5218965652961087,9061.0,69.0,66.0,189.0,11.0,0.8,0.7961333333333335,1302.941094654881,31.712230060725997,-1,0.1,0.7,1666,0.6925750394944709,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5867,9804.0,71.0,67.0,140.0,2.0,0.122435,0.014,1155.0,20.794728733287084,-1,1.0,0.0,140,2.3333333333333335,10543.0,69.0,70.0,146.0,3.0,0.138853,0.22818181818181815,1115.495682976622,17.626829422680817,-2,0.5,0.0,280,2.223320158102767,0,1,0,0,0,0,0,0,0,0,0,0,0,0
586,14270.0,80.0,75.0,741.0,3.0,0.138853,0.17622222222222222,1075.6146075927295,17.241638345318176,-2,0.0,0.0,1057,3.767660910518053,13343.0,76.0,71.0,203.0,3.0,0.138853,0.04466666666666667,1074.2122964315436,15.653933921023476,-2,0.0,0.0,392,2.1117061973986226,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4028,10910.0,76.0,76.0,126.0,8.0,0.6,0.34413333333333335,1266.8684081350784,29.845429818123744,-1,0.5714285714285714,0.5714285714285714,1827,0.8326989518065233,14137.0,75.0,72.0,308.0,23.0,0.2,0.4649333333333333,1312.687346092636,37.61002973243855,-4,0.5454545454545454,0.6363636363636364,4599,0.18680955887954898,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6400,10462.0,74.0,70.0,189.0,20.0,0.4,0.6018666666666667,1288.749699167412,32.57371029053741,-1,0.5789473684210527,0.5263157894736842,2869,0.3187408549847748,13332.0,70.0,67.0,210.0,26.0,0.6,0.7626666666666667,1319.3303462463086,31.864560270509205,2,0.44,0.56,4256,0.1782727515564962,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1176,12870.0,73.0,73.0,125.0,28.0,0.4,0.4188,1437.9721552299138,36.93198013711456,1,0.6296296296296297,0.7407407407407407,2695,0.34266352386564525,9799.0,74.0,74.0,98.0,10.0,1.0,0.5565333333333332,1438.9111512021257,34.945874415407665,5,0.5555555555555556,0.7777777777777778,1323,0.46705385106577063,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5908,10386.0,70.0,68.0,259.0,4.0,0.394355,0.6681333333333332,1157.3297628333466,24.75999106456065,1,0.0,0.3333333333333333,567,1.934566145092461,7679.0,71.0,69.0,371.0,2.0,0.872435,0.9626666666666664,1245.0,29.205271266712927,1,0.0,1.0,371,4.133333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4772,8709.0,73.0,71.0,133.0,10.0,0.6,0.5331999999999999,1306.2150263965375,31.780181166014,2,0.5555555555555556,0.6666666666666666,1456,0.6641901931649332,11892.0,70.0,67.0,274.0,4.0,0.644355,0.6471999999999998,1233.2778451171218,28.728881690710907,2,0.3333333333333333,0.6666666666666666,1400,2.124789207419899,0,0,0,0,0,0,0,0,0,1,0,0,0,0
