,Round,KD_fighter1,Sig. str. %_fighter1,Sub. att_fighter1,Rev._fighter1,Ctrl_fighter1,lose_streak_fighter1,round_fighter1,age_fighter1,win_loss_ratio_fighter1,win_streak_fighter1,lose_streak_fighter1,num_fights_fighter1,Sig. str. landed_fighter1,Sig. str. attempted_fighter1,Total str. landed_fighter1,Total str. attempted_fighter1,Total Head landed_fighter1,Total Head attempted_fighter1,Total Body landed_fighter1,Total Body attempted_fighter1,Total Leg landed_fighter1,Total Leg attempted_fighter1,Total Distance landed_fighter1,Total Distance attempted_fighter1,Total Clinch landed_fighter1,Total Clinch attempted_fighter1,Total Ground landed_fighter1,Total Ground attempted_fighter1,Total Takedowns_fighter1,Total Takedowns attempted_fighter1,division_Catch Weight_fighter1,division_Featherweight_fighter1,division_Flyweight_fighter1,division_Heavyweight_fighter1,division_Light Heavyweight_fighter1,division_Lightweight_fighter1,division_Middleweight_fighter1,division_Welterweight_fighter1,division_Women's Bantamweight_fighter1,division_Women's Featherweight_fighter1,division_Women's Flyweight_fighter1,division_Women's Strawweight_fighter1,stance_Orthodox_fighter1,stance_Southpaw_fighter1,stance_Switch_fighter1,KD_fighter2,Sig. str. %_fighter2,Sub. att_fighter2,Rev._fighter2,Ctrl_fighter2,lose_streak_fighter2,age_fighter2,win_loss_ratio_fighter2,win_streak_fighter2,lose_streak_fighter2,num_fights_fighter2,Sig. str. landed_fighter2,Sig. str. attempted_fighter2,Total str. landed_fighter2,Total str. attempted_fighter2,Total Head landed_fighter2,Total Head attempted_fighter2,Total Body landed_fighter2,Total Body attempted_fighter2,Total Leg landed_fighter2,Total Leg attempted_fighter2,Total Distance landed_fighter2,Total Distance attempted_fighter2,Total Clinch landed_fighter2,Total Clinch attempted_fighter2,Total Ground landed_fighter2,Total Ground attempted_fighter2,Total Takedowns_fighter2,Total Takedowns attempted_fighter2,division_Catch Weight_fighter2,division_Featherweight_fighter2,division_Flyweight_fighter2,division_Heavyweight_fighter2,division_Light Heavyweight_fighter2,division_Lightweight_fighter2,division_Middleweight_fighter2,division_Welterweight_fighter2,division_Women's Bantamweight_fighter2,division_Women's Featherweight_fighter2,division_Women's Flyweight_fighter2,division_Women's Strawweight_fighter2,stance_Orthodox_fighter2,stance_Southpaw_fighter2,stance_Switch_fighter2,round_winner
20,1,0,0.47,0,1,11,0.0,3.0,10060.0,0.6666666666666666,3.0,0.0,6.0,17,36,31,55,10,25,2,4,5,7,10,25,2,4,5,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.29,0,0,191,1.0,10533.0,0.3333333333333333,0.0,1.0,9.0,8,27,17,40,5,22,3,3,0,2,4,17,2,2,2,8,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21,2,0,0.54,0,0,9,0.0,3.0,10060.0,0.6666666666666666,3.0,0.0,6.0,12,22,23,33,2,10,5,6,5,6,10,19,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.48,0,0,199,1.0,10533.0,0.3333333333333333,0.0,1.0,9.0,12,25,24,38,10,23,1,1,1,1,2,11,1,1,9,13,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
22,3,0,0.48,0,0,9,0.0,3.0,10060.0,0.6666666666666666,3.0,0.0,6.0,27,56,36,65,7,30,4,9,16,17,26,54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.41,0,0,59,1.0,10533.0,0.3333333333333333,0.0,1.0,9.0,19,46,33,60,12,37,5,6,2,3,15,39,4,7,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
23,1,0,0.33,0,0,6,0.0,3.0,13411.0,0.75,2.0,0.0,20.0,13,39,15,42,7,29,3,6,3,4,12,36,0,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.39,0,0,0,4.0,14026.0,0.5454545454545454,0.0,4.0,22.0,15,38,20,43,5,26,2,2,8,10,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24,2,0,0.43,0,0,245,0.0,3.0,13411.0,0.75,2.0,0.0,20.0,7,16,27,40,6,12,0,1,1,3,5,13,0,0,2,3,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.45,0,0,3,4.0,14026.0,0.5454545454545454,0.0,4.0,22.0,5,11,32,39,1,6,3,4,1,1,4,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
25,3,0,0.5,0,0,90,0.0,3.0,13411.0,0.75,2.0,0.0,20.0,22,44,30,53,21,43,0,0,1,1,20,41,0,0,2,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.45,0,0,2,4.0,14026.0,0.5454545454545454,0.0,4.0,22.0,19,42,25,48,8,29,3,5,8,8,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
27,2,0,0.66,0,0,217,0.0,3.0,9243.0,0.6666666666666666,2.0,0.0,3.0,4,6,24,32,2,4,2,2,0,0,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,48,1.0,6756.0,0.5,0.0,1.0,2.0,0,4,0,4,0,3,0,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,3,0,0.57,0,0,199,0.0,3.0,9243.0,0.6666666666666666,2.0,0.0,3.0,23,40,50,69,23,40,0,0,0,0,3,15,0,0,20,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.13,0,0,0,1.0,6756.0,0.5,0.0,1.0,2.0,2,15,2,15,2,12,0,0,0,3,2,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,1,0,0.46,0,0,0,0.0,3.0,11489.0,0.5714285714285714,1.0,0.0,21.0,30,64,30,64,20,51,0,0,10,13,30,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.27,0,0,0,1.0,13051.0,0.6666666666666666,0.0,1.0,6.0,13,48,13,48,8,40,1,2,4,6,13,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
30,2,0,0.41,0,0,55,0.0,3.0,11489.0,0.5714285714285714,1.0,0.0,21.0,23,56,27,62,20,51,1,2,2,3,19,44,0,2,4,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.3,0,0,0,1.0,13051.0,0.6666666666666666,0.0,1.0,6.0,20,65,26,74,11,51,9,14,0,0,18,62,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
