,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
1,1,Tai Tuivasa,1,22 of 36,61%,22 of 36,0 of 2,0%,0,0,1:14,22 of 36,16 of 29,3 of 4,3 of 3,14 of 25,6 of 9,2 of 2,http://www.ufcstats.com/fight-details/6971094300073d47
0,1,Damien Brown,0,7 of 14,50%,15 of 22,2 of 5,40%,1,0,2:10,7 of 14,3 of 8,2 of 4,2 of 2,4 of 10,2 of 3,1 of 1,http://www.ufcstats.com/fight-details/823797bc6d532b52
1,1,Frank Camacho,0,21 of 30,70%,51 of 62,1 of 5,20%,0,1,1:45,21 of 30,19 of 28,2 of 2,0 of 0,4 of 13,16 of 16,1 of 1,http://www.ufcstats.com/fight-details/823797bc6d532b52
2,2,Damien Brown,0,43 of 107,40%,45 of 109,0 of 1,0%,0,0,0:00,43 of 107,27 of 88,8 of 11,8 of 8,41 of 105,2 of 2,0 of 0,http://www.ufcstats.com/fight-details/823797bc6d532b52
3,2,Frank Camacho,0,53 of 110,48%,73 of 130,0 of 0,---,0,0,0:28,53 of 110,46 of 103,7 of 7,0 of 0,50 of 106,3 of 4,0 of 0,http://www.ufcstats.com/fight-details/823797bc6d532b52
4,3,Damien Brown,0,54 of 130,41%,55 of 132,0 of 1,0%,0,0,0:02,54 of 130,42 of 117,9 of 10,3 of 3,54 of 129,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/823797bc6d532b52
5,3,Frank Camacho,0,80 of 159,50%,88 of 168,0 of 0,---,0,0,0:05,80 of 159,72 of 146,8 of 13,0 of 0,76 of 152,4 of 7,0 of 0,http://www.ufcstats.com/fight-details/823797bc6d532b52
0,1,Alex Chambers,0,21 of 28,75%,39 of 48,1 of 2,50%,0,0,2:50,21 of 28,13 of 18,7 of 7,1 of 3,10 of 16,2 of 3,9 of 9,http://www.ufcstats.com/fight-details/23b6ffc0223f8cce
1,1,Nadia Kassem,0,15 of 22,68%,26 of 38,0 of 1,0%,1,0,0:00,15 of 22,7 of 12,4 of 5,4 of 5,10 of 15,3 of 4,2 of 3,http://www.ufcstats.com/fight-details/23b6ffc0223f8cce
2,2,Alex Chambers,0,6 of 14,42%,10 of 20,2 of 3,66%,0,0,2:58,6 of 14,5 of 9,1 of 2,0 of 3,6 of 12,0 of 2,0 of 0,http://www.ufcstats.com/fight-details/23b6ffc0223f8cce
