,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
7,4,Mayra Bueno Silva,0,7 of 8,87%,8 of 10,1 of 2,50%,1,0,1:11,7 of 8,3 of 3,3 of 4,1 of 1,4 of 5,3 of 3,0 of 0,http://www.ufcstats.com/fight-details/faf15b752fb8924c
8,5,Raquel Pennington,0,34 of 46,73%,65 of 83,0 of 0,---,2,0,4:19,34 of 46,20 of 32,5 of 5,9 of 9,8 of 17,7 of 7,19 of 22,http://www.ufcstats.com/fight-details/faf15b752fb8924c
9,5,Mayra Bueno Silva,0,7 of 8,87%,12 of 13,0 of 2,0%,0,0,0:06,7 of 8,5 of 6,0 of 0,2 of 2,6 of 7,0 of 0,1 of 1,http://www.ufcstats.com/fight-details/faf15b752fb8924c
0,1,Neil Magny,0,5 of 25,20%,12 of 32,0 of 0,---,0,0,0:03,5 of 25,4 of 22,0 of 0,1 of 3,5 of 24,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/97817609ed46baa0
1,1,Mike Malott,0,20 of 31,64%,20 of 31,0 of 0,---,0,0,0:18,20 of 31,2 of 13,1 of 1,17 of 17,20 of 31,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/97817609ed46baa0
2,2,Neil Magny,0,6 of 15,40%,18 of 29,0 of 1,0%,0,0,0:00,6 of 15,4 of 13,1 of 1,1 of 1,6 of 14,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/97817609ed46baa0
3,2,Mike Malott,0,21 of 30,70%,67 of 79,2 of 2,100%,0,0,3:08,21 of 30,14 of 22,3 of 3,4 of 5,9 of 17,0 of 0,12 of 13,http://www.ufcstats.com/fight-details/97817609ed46baa0
4,3,Neil Magny,0,46 of 62,74%,80 of 98,1 of 1,100%,0,0,1:44,46 of 62,44 of 60,2 of 2,0 of 0,2 of 6,0 of 0,44 of 56,http://www.ufcstats.com/fight-details/97817609ed46baa0
5,3,Mike Malott,0,4 of 6,66%,13 of 18,2 of 4,50%,0,0,2:36,4 of 6,3 of 5,0 of 0,1 of 1,1 of 1,0 of 0,3 of 5,http://www.ufcstats.com/fight-details/97817609ed46baa0
0,1,Chris Curtis,0,23 of 48,47%,23 of 48,0 of 0,---,0,0,0:00,23 of 48,15 of 36,5 of 9,3 of 3,23 of 48,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/ba5005d1116fa45f
1,1,Marc-Andre Barriault,0,18 of 46,39%,18 of 46,0 of 0,---,0,0,0:00,18 of 46,8 of 35,4 of 5,6 of 6,18 of 46,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/ba5005d1116fa45f
